period,category_id,category_name,ratio,data_source
2025-09-09,50000193,마스크/팩,44.8601,DEMO_SIMULATION
2025-09-10,50000193,마스크/팩,44.9253,DEMO_SIMULATION
2025-09-11,50000193,마스크/팩,44.4857,DEMO_SIMULATION
2025-09-12,50000193,마스크/팩,45.7256,DEMO_SIMULATION
2025-09-13,50000193,마스크/팩,47.6786,DEMO_SIMULATION
2025-09-14,50000193,마스크/팩,55.7955,DEMO_SIMULATION
2025-09-15,50000193,마스크/팩,54.5661,DEMO_SIMULATION
2025-09-16,50000193,마스크/팩,47.807,DEMO_SIMULATION
2025-09-17,50000193,마스크/팩,47.4672,DEMO_SIMULATION
2025-09-18,50000193,마스크/팩,44.7896,DEMO_SIMULATION
2025-09-19,50000193,마스크/팩,48.0796,DEMO_SIMULATION
2025-09-20,50000193,마스크/팩,44.3919,DEMO_SIMULATION
2025-09-21,50000193,마스크/팩,52.1688,DEMO_SIMULATION
2025-09-22,50000193,마스크/팩,56.3525,DEMO_SIMULATION
2025-09-23,50000193,마스크/팩,45.5868,DEMO_SIMULATION
2025-09-24,50000193,마스크/팩,46.0271,DEMO_SIMULATION
2025-09-25,50000193,마스크/팩,49.2084,DEMO_SIMULATION
2025-09-26,50000193,마스크/팩,43.4766,DEMO_SIMULATION
2025-09-27,50000193,마스크/팩,46.3187,DEMO_SIMULATION
2025-09-28,50000193,마스크/팩,51.0514,DEMO_SIMULATION
2025-09-29,50000193,마스크/팩,50.6515,DEMO_SIMULATION
2025-09-30,50000193,마스크/팩,50.8537,DEMO_SIMULATION
2025-10-01,50000193,마스크/팩,61.8526,DEMO_SIMULATION
2025-10-02,50000193,마스크/팩,60.5731,DEMO_SIMULATION
2025-10-03,50000193,마스크/팩,58.6594,DEMO_SIMULATION
2025-10-04,50000193,마스크/팩,64.6299,DEMO_SIMULATION
2025-10-05,50000193,마스크/팩,69.3265,DEMO_SIMULATION
2025-10-06,50000193,마스크/팩,66.5725,DEMO_SIMULATION
2025-10-07,50000193,마스크/팩,59.014,DEMO_SIMULATION
2025-10-08,50000193,마스크/팩,66.2002,DEMO_SIMULATION
2025-10-09,50000193,마스크/팩,66.1911,DEMO_SIMULATION
2025-10-10,50000193,마스크/팩,57.8762,DEMO_SIMULATION
2025-10-11,50000193,마스크/팩,66.7854,DEMO_SIMULATION
2025-10-12,50000193,마스크/팩,68.0123,DEMO_SIMULATION
2025-10-13,50000193,마스크/팩,69.2016,DEMO_SIMULATION
2025-10-14,50000193,마스크/팩,57.9022,DEMO_SIMULATION
2025-10-15,50000193,마스크/팩,59.4854,DEMO_SIMULATION
2025-10-16,50000193,마스크/팩,62.132,DEMO_SIMULATION
2025-10-17,50000193,마스크/팩,62.9245,DEMO_SIMULATION
2025-10-18,50000193,마스크/팩,66.8744,DEMO_SIMULATION
2025-10-19,50000193,마스크/팩,68.2886,DEMO_SIMULATION
2025-10-20,50000193,마스크/팩,73.5841,DEMO_SIMULATION
2025-10-21,50000193,마스크/팩,60.2657,DEMO_SIMULATION
2025-10-22,50000193,마스크/팩,62.1155,DEMO_SIMULATION
2025-10-23,50000193,마스크/팩,58.0282,DEMO_SIMULATION
2025-10-24,50000193,마스크/팩,62.1437,DEMO_SIMULATION
2025-10-25,50000193,마스크/팩,63.8256,DEMO_SIMULATION
2025-10-26,50000193,마스크/팩,67.9653,DEMO_SIMULATION
2025-10-27,50000193,마스크/팩,73.0128,DEMO_SIMULATION
2025-10-28,50000193,마스크/팩,61.9745,DEMO_SIMULATION
2025-10-29,50000193,마스크/팩,65.3757,DEMO_SIMULATION
2025-10-30,50000193,마스크/팩,59.5691,DEMO_SIMULATION
2025-10-31,50000193,마스크/팩,58.4813,DEMO_SIMULATION
2025-11-01,50000193,마스크/팩,69.8581,DEMO_SIMULATION
2025-11-02,50000193,마스크/팩,82.3671,DEMO_SIMULATION
2025-11-03,50000193,마스크/팩,75.6102,DEMO_SIMULATION
2025-11-04,50000193,마스크/팩,76.779,DEMO_SIMULATION
2025-11-05,50000193,마스크/팩,70.6922,DEMO_SIMULATION
2025-11-06,50000193,마스크/팩,77.2262,DEMO_SIMULATION
2025-11-07,50000193,마스크/팩,71.3396,DEMO_SIMULATION
2025-11-08,50000193,마스크/팩,72.6526,DEMO_SIMULATION
2025-11-09,50000193,마스크/팩,80.0613,DEMO_SIMULATION
2025-11-10,50000193,마스크/팩,84.3516,DEMO_SIMULATION
2025-11-11,50000193,마스크/팩,73.4925,DEMO_SIMULATION
2025-11-12,50000193,마스크/팩,75.1409,DEMO_SIMULATION
2025-11-13,50000193,마스크/팩,74.2938,DEMO_SIMULATION
2025-11-14,50000193,마스크/팩,76.5315,DEMO_SIMULATION
2025-11-15,50000193,마스크/팩,76.3934,DEMO_SIMULATION
2025-11-16,50000193,마스크/팩,80.0409,DEMO_SIMULATION
2025-11-17,50000193,마스크/팩,75.6438,DEMO_SIMULATION
2025-11-18,50000193,마스크/팩,77.6404,DEMO_SIMULATION
2025-11-19,50000193,마스크/팩,68.4295,DEMO_SIMULATION
2025-11-20,50000193,마스크/팩,72.7141,DEMO_SIMULATION
2025-11-21,50000193,마스크/팩,73.2405,DEMO_SIMULATION
2025-11-22,50000193,마스크/팩,71.8599,DEMO_SIMULATION
2025-11-23,50000193,마스크/팩,83.2028,DEMO_SIMULATION
2025-11-24,50000193,마스크/팩,78.6926,DEMO_SIMULATION
2025-11-25,50000193,마스크/팩,68.6351,DEMO_SIMULATION
2025-11-26,50000193,마스크/팩,70.7705,DEMO_SIMULATION
2025-11-27,50000193,마스크/팩,74.5368,DEMO_SIMULATION
2025-11-28,50000193,마스크/팩,75.1615,DEMO_SIMULATION
2025-11-29,50000193,마스크/팩,70.9825,DEMO_SIMULATION
2025-11-30,50000193,마스크/팩,82.9729,DEMO_SIMULATION
2025-12-01,50000193,마스크/팩,100.0,DEMO_SIMULATION
2025-12-02,50000193,마스크/팩,93.4078,DEMO_SIMULATION
